text,label
Issue still unresolved after many days.,complaint
Terrible customer experience.,complaint
Dashboard is extremely slow.,technical_issue
Can you support CSV import?,feature_request
Do you offer partnerships?,other
Support team never responds.,complaint
Please launch a mobile app.,feature_request
Would like custom reports.,feature_request
The app crashes when I open settings.,technical_issue
Please launch a mobile app.,feature_request
Need general product information.,other
Very disappointed with the service.,complaint
How do I contact sales?,other
Dashboard is extremely slow.,technical_issue
Very disappointed with the service.,complaint
Thank you for the quick help.,other
Thank you for the quick help.,other
My invoice amount is incorrect.,billing
Your response was rude.,complaint
Thank you for the quick help.,other
Need Slack integration.,feature_request
Dashboard is extremely slow.,technical_issue
OTP code never arrives.,technical_issue
Login page keeps loading forever.,technical_issue
Can you support CSV import?,feature_request
Issue still unresolved after many days.,complaint
Refund for cancelled plan not received.,billing
OTP code never arrives.,technical_issue
Need Slack integration.,feature_request
Need general product information.,other
The app crashes when I open settings.,technical_issue
Please launch a mobile app.,feature_request
I was charged twice for my subscription.,billing
I was charged twice for my subscription.,billing
Export to CSV button does nothing.,technical_issue
Can you support CSV import?,feature_request
The app crashes when I open settings.,technical_issue
The app crashes when I open settings.,technical_issue
Do you offer partnerships?,other
Dashboard is extremely slow.,technical_issue
Need general product information.,other
Can you support CSV import?,feature_request
Need general product information.,other
Payment failed but money was deducted.,billing
The app crashes when I open settings.,technical_issue
Thank you for the quick help.,other
Very disappointed with the service.,complaint
Support team never responds.,complaint
Please add dark mode.,feature_request
Where is your office located?,other
Would like custom reports.,feature_request
Do you offer partnerships?,other
I was charged twice for my subscription.,billing
OTP code never arrives.,technical_issue
Dashboard is extremely slow.,technical_issue
Why was I billed again this month?,billing
My invoice amount is incorrect.,billing
Need general product information.,other
Where is your office located?,other
Terrible customer experience.,complaint
Need Slack integration.,feature_request
How do I contact sales?,other
Support team never responds.,complaint
Can you support CSV import?,feature_request
The app crashes when I open settings.,technical_issue
Refund for cancelled plan not received.,billing
Do you offer partnerships?,other
Login page keeps loading forever.,technical_issue
Your response was rude.,complaint
Why was I billed again this month?,billing
Can you support CSV import?,feature_request
Support team never responds.,complaint
OTP code never arrives.,technical_issue
Please add dark mode.,feature_request
How do I contact sales?,other
My invoice amount is incorrect.,billing
Payment failed but money was deducted.,billing
Can you support CSV import?,feature_request
Can you support CSV import?,feature_request
The app crashes when I open settings.,technical_issue
